,belief,endTime,startTime,state,uncertaintyLower,uncertaintyUpper,usertoken,varIndex,vars,visGroup
0,-0.6547351528743603,1583619187487,1583619170013,draw1,-0.7024831674218257,-0.6069871383268952,ib8fhchj,0,Vaccination rate_Rate of illness,scatter
1,0.8100747352371938,1583619205534,1583619193870,draw2,0.7774625719460397,0.8426868985283478,ib8fhchj,0,Vaccination rate_Rate of illness,scatter
2,0.5117261944492562,1583619223790,1583619206887,draw1,0.4802917415544874,0.5431606473440247,ib8fhchj,1,Government spending_Budget deficit,scatter
3,-1.0,1583619234045,1583619228214,draw2,-1.0,-1.0,ib8fhchj,1,Government spending_Budget deficit,scatter
4,0.7977854618202969,1583619246430,1583619235566,draw1,0.7312761884026202,0.8642947352379735,ib8fhchj,2,Immigrant population_Economic growth,scatter
5,0.0846559433904841,1583619259013,1583619249645,draw2,0.0846559433904841,0.0846559433904841,ib8fhchj,2,Immigrant population_Economic growth,scatter
6,1.0,1583619292886,1583619260515,draw1,0.976361383724309,1.0,ib8fhchj,3,Income tax rate_Poverty rate,scatter
7,1.0,1583619303797,1583619296972,draw2,0.9603564558275304,1.0,ib8fhchj,3,Income tax rate_Poverty rate,scatter
8,1.0,1583619313102,1583619305217,draw1,1.0,1.0,ib8fhchj,4,Labor union participation_Corporate profits,scatter
9,1.0,1583619322910,1583619316682,draw2,0.8741847540919985,1.0,ib8fhchj,4,Labor union participation_Corporate profits,scatter
10,-1.0,1583619454317,1583619443856,draw1,-1.0,-1.0,ib8fhchj,5,Temperature_Crime rate,band
11,-1.0,1583619464749,1583619457890,draw2,-1.0,-1.0,ib8fhchj,5,Temperature_Crime rate,band
12,-0.7946633139552806,1583619481941,1583619466739,draw1,-0.8607510638423486,-0.7285755640682123,ib8fhchj,6,Yearly income_Height,band
13,-0.2625844814648915,1583619495189,1583619484976,draw2,-0.4010888103475647,0.39794573132975675,ib8fhchj,6,Yearly income_Height,band
14,1.0,1583619505213,1583619496707,draw1,0.8798747964907774,1.0,ib8fhchj,7,Exercise amount_Body weight,band
15,0.9292032108568353,1583619516070,1583619508687,draw2,0.9135517309315833,0.9448546907820874,ib8fhchj,7,Exercise amount_Body weight,band
16,1.0,1583619530038,1583619517468,draw1,0.9108227250290668,1.0,ib8fhchj,8,Temperature_Sales of Mittens,band
17,0.5359188179239678,1583619548102,1583619533126,draw2,0.5359188179239678,0.5359188179239678,ib8fhchj,8,Temperature_Sales of Mittens,band
18,-1.0,1583619562318,1583619549527,draw1,-1.0,-0.776282653521905,ib8fhchj,9,Weight_Price,band
19,0.9714153002292487,1583619570261,1583619565592,draw2,0.9298229738076733,1.0,ib8fhchj,9,Weight_Price,band
20,0.14831530494981515,1583619324262,1583619293925,draw1,-1.0,1.0,mNxXskAm,0,Exercise amount_Body weight,scatter
21,-0.0613898994254054,1583619353047,1583619330462,draw2,-1.0,0.8772202011491892,mNxXskAm,0,Exercise amount_Body weight,scatter
22,-0.15497080867181112,1583619376047,1583619356493,draw1,-1.0,1.0,mNxXskAm,1,Weight_Price,scatter
23,-0.009459257945604038,1583619390935,1583619381557,draw2,-1.0,0.981081484108792,mNxXskAm,1,Weight_Price,scatter
24,0.03975474844733751,1583619404415,1583619394489,draw1,-1.0,1.0,mNxXskAm,2,Temperature_Sales of Mittens,scatter
25,-0.3765251955304861,1583619415919,1583619409224,draw2,-1.0,0.9657172924734558,mNxXskAm,2,Temperature_Sales of Mittens,scatter
26,-0.6647827567638402,1583619425255,1583619418696,draw1,-1.0,0.9610492634994794,mNxXskAm,3,Temperature_Crime rate,scatter
27,-0.21203812993482657,1583619435312,1583619430127,draw2,-1.0,0.8996205944328748,mNxXskAm,3,Temperature_Crime rate,scatter
28,-0.5155242336366264,1583619444951,1583619437958,draw1,-1.0,0.9701020209763707,mNxXskAm,4,Yearly income_Height,scatter
29,0.4339726389082528,1583619460186,1583619449759,draw2,-0.9686527757929393,1.0,mNxXskAm,4,Yearly income_Height,scatter
30,0.4776032547470537,1583619485273,1583619479819,draw1,-1.0,1.0,mNxXskAm,5,Government spending_Budget deficit,hop
